city,threshold,0-20km/h,20-40km/h,40-60km/h,60-80km/h,80-100km/h
taizhou,30,2.5089498762876, 2.639060619891291, 2.7330427072558003, 3.154310915104741, 2.54748682899046
yancheng,30,2.1877720843265154, 2.173688881375988, 2.229807209919014, 2.1696638835367157, 2.064700359881083
xuzhou,30,2.2639510103951133, 2.3229355515267853, 2.2845459979351195, 2.4886352019083318, 2.405807929866507
all cities,30,2.315796567,2.376790302,2.40017433,2.61782926,2.355278867
taizhou,10,1.86876941,1.948757313,2.01887838,2.230341786,1.923038587
yancheng,10,1.667939367,1.672378819,1.703182111,1.679244273,1.607807855
xuzhou,10,1.731566949,1.772706267,1.747296636,1.869551883,1.821926679
all cities,10,1.753889804,1.79733184,1.81397908,1.934968319,1.793855535
taizhou,5,1.589025205,1.643272063,1.684461357,1.807541345,1.629218283
yancheng,5,1.448134483,1.45685247,1.474736616,1.470670092,1.418557346
xuzhou,5,1.503224468,1.536561089,1.513992284,1.596967115,1.567692767
all cities,5,1.512286777522176, 1.54559588905725, 1.552331662671606, 1.6311241231047748, 1.545475865597817
