city,threshold,0-20km/h,20-40km/h,40-60km/h,60-80km/h,80-100km/h
taizhou,30,4.807364742,5.092527281,5.432023053,7.080573319,4.891428165
yancheng,30,3.531786586,3.429827156,3.562710528,3.381931064,3.114301361
xuzhou,30,3.735181698,3.952276848,3.756126718,4.530073266,4.07825264
all cities,30,4.003680208,4.151479017,4.191577686,5.044622652,4.059078117
taizhou,10,2.824416496,2.998070619,3.151507315,3.817816979,2.962978784
yancheng,10,2.232875637,2.241220471,2.298502114,2.225165917,2.101001408
xuzhou,10,2.371489016,2.488144751,2.401945335,2.745442154,2.568639171
all cities,10,2.468045469,2.573087819,2.591555895,2.951869767,2.559291318
taizhou,5,2.117383611,2.208373097,2.301610758,2.65600882,2.210878542
yancheng,5,1.768152039,1.791108482,1.826488927,1.786234211,1.726099202
xuzhou,5,1.873239088,1.947122392,1.899174048,2.090645766,2.00343694
all cities,5,1.915565384,1.981441465,1.995761604,2.191516746,1.989979533
